ScheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB
sub-1.icecube.wisc.edu,11346,11387,2237.62,3376.88,1,9766,7808
exocet.bmrb.wisc.edu,328,368,367.38,324.67,1,733,640
login05.hep.wisc.edu,4970,4971,385.21,384.36,1,1709,1600
sub-simprod-2.icecube.wisc.edu,57,110,295.94,24.76,8,7325,5020
submit3.chtc.wisc.edu,94,94,14.72,14.66,1,977,790
osggrid01.hep.wisc.edu,386,386,249.46,249.46,8,2198,2048
submit-1.chtc.wisc.edu,607,4452,586.52,402.71,1,3418,3411
cmsgrid01.hep.wisc.edu,65,65,154.93,154.92,8,8,6
submit2.chtc.wisc.edu,669,1178,766.14,461.63,16,26856,24670
login04.hep.wisc.edu,1051,1051,44.44,18.65,1,489,482
login01.hep.wisc.edu,426,426,14.46,10.49,1,318,301
deepdivesubmit2000.chtc.wisc.edu,1,1,0.73,0.73,1,2442,2371
