Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,ShortJobStarts,All Starts,Min,25%,Median,75%,Max,Mean,Std
submit3.chtc.wisc.edu,87731.74,93341.63,34953,28302,98,29297,2,0,35713,0.06,0.13,0.19,4.25,71.84,2.51,4.56
sub-1.icecube.wisc.edu,76550.87,80712.04,130293,10060,2442,12208,1,4974,131871,0.0,0.1,0.31,0.47,39.6,0.59,1.43
submit-1.chtc.wisc.edu,45452.05,45706.14,27699,36384,1,21937,16,19145,28684,0.0,0.01,0.01,0.03,2385.44,1.64,30.26
roy-submit.discovery.wisc.edu,40795.21,50333.72,21080,29066,1954,29297,1,0,164478,0.44,1.54,1.84,2.13,71.05,1.94,1.69
submit2.chtc.wisc.edu,37082.97,37192.08,6096,66714,733,66711,20,2879,6106,0.0,0.0,0.02,11.25,1499.74,6.08,22.94
login01.hep.wisc.edu,14981.96,22776.12,913,7536,4395,9766,1,0,1756,0.0,12.16,15.38,21.67,37.12,16.41,5.8
cmsgrid01.hep.wisc.edu,12291.72,12291.74,180,13552,1,14649,8,0,180,0.02,0.03,0.04,0.05,480.83,68.29,162.98
lhcb-ce.chtc.wisc.edu,6124.27,6124.27,1091,1662,1465,1709,1,0,1091,0.04,4.58,5.43,6.19,24.41,5.61,2.06
osggrid01.hep.wisc.edu,3334.79,3334.84,5381,2966,2,3174,8,0,5381,0.16,0.35,0.35,0.36,58.62,0.62,2.0
login06.hep.wisc.edu,2836.86,2908.86,152,7043,7325,7325,1,0,152,0.0,17.57,21.17,23.07,27.41,18.66,7.34
htcondor.erc.wisc.edu,2777.72,2777.73,73,3470,2326,3469,1,0,73,30.61,33.38,36.84,40.77,56.34,38.05,5.63
login05.hep.wisc.edu,746.62,764.6,711,3443,245,3663,1,1,711,0.0,0.69,0.91,1.2,6.8,1.05,0.69
roy-exec-1.discovery.wisc.edu,617.68,1996.35,9,6814,7325,7325,1,0,528,30.14,36.48,71.53,79.65,89.41,68.63,21.4
osghost.chtc.wisc.edu,512.27,521.14,238,2048,2198,2198,1,7,238,0.0,1.33,2.4,2.98,3.94,2.15,0.98
sub-simprod-2.icecube.wisc.edu,338.93,434.55,82,2985,1954,3174,2,16,87,0.0,0.1,0.52,1.25,75.82,4.13,13.79
exocet.bmrb.wisc.edu,83.74,798.34,16,481,416,489,1,0,37,0.0,0.0,3.19,9.67,13.81,5.23,5.14
login03.hep.wisc.edu,16.51,25.71,1545,211,74,220,1,1107,1545,0.0,0.0,0.0,0.01,0.19,0.01,0.02
login02.hep.wisc.edu,4.41,4.41,2,240,245,245,1,0,2,2.13,2.13,2.2,2.13,2.28,2.2,0.1
